method,query,rank,score,text_id,chapter_title,text_preview
TF-IDF,rabbit hole,1,0.5877689831280128,text_0179,CHAPTER VIII — The Queen's Croquet-Ground,"She was walking by the White Rabbit, who was peeping anxiously into her face. `Very,' said Alice: `--where's the Duchess?' `Hush! Hush!' said the Rabbit in a low, hurried tone. He looked anxiously over his shoulder as he"
TF-IDF,rabbit hole,2,0.5245735245872675,text_0002,CHAPTER I — Down the Rabbit-Hole,"I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAIST"
TF-IDF,rabbit hole,3,0.5173964090804859,text_0001,CHAPTER I — Down the Rabbit-Hole,"There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, `Oh dear! Oh dear!"
all-MiniLM-L6-v2,rabbit hole,1,0.5011534094810486,text_0003,CHAPTER I — Down the Rabbit-Hole,"In another moment down went Alice after it, never once considering how in the world she was to get out again. The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that A"
all-MiniLM-L6-v2,rabbit hole,2,0.48429790139198303,text_0002,CHAPTER I — Down the Rabbit-Hole,"I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAIST"
all-MiniLM-L6-v2,rabbit hole,3,0.4565218687057495,text_0074,CHAPTER IV — The Rabbit Sends in a Little Bill,"Alice heard it say to itself `Then I'll go round and get in at the window.' `THAT you won't' thought Alice, and, after waiting till she fancied she heard the Rabbit just under the window, she suddenly spread out her hand"
TF-IDF,mad tea party,1,0.5654973444171245,text_0043,CHAPTER II — The Pool of Tears,"Alice led the way, and the whole party swam to the shore."
TF-IDF,mad tea party,2,0.47562457995819385,text_0137,CHAPTER VI — Pig and Pepper,"You're mad.' `How do you know I'm mad?' said Alice. `You must be,' said the Cat, `or you wouldn't have come here.' Alice didn't think that proved it at all; however, she went on `And how do you know that you're mad?' `To"
TF-IDF,mad tea party,3,0.4087767944766944,text_0136,CHAPTER VI — Pig and Pepper,"`--so long as I get SOMEWHERE,' Alice added as an explanation. `Oh, you're sure to do that,' said the Cat, `if you only walk long enough.' Alice felt that this could not be denied, so she tried another question. `What so"
all-MiniLM-L6-v2,mad tea party,1,0.5132418870925903,text_0166,CHAPTER VII — A Mad Tea-Party,"`It's the stupidest tea-party I ever was at in all my life!' Just as she said this, she noticed that one of the trees had a door leading right into it. `That's very curious!' she thought. `But everything's curious today."
